product_category,product_image,product_image_url,product_name,product_price,product_url,site_name
bottom,z_8586,http://static.id.zalora.net/p/denim-addict-8586-6784902-4.jpg,Women Denim Pants Raw Edge,179000,https://www.zalora.co.id/denim-addict-women-denim-pants-raw-edge-blue-2094876.html,Zalora
bottom,z_6874,http://static.id.zalora.net/p/something-borrowed-6874-2068702-4.jpg,Ripped Mom Jeans,309000,https://www.zalora.co.id/something-borrowed-ripped-mom-jeans-blue-2078602.html,Zalora
bottom,z_0979,http://static.id.zalora.net/p/something-borrowed-0979-6109212-4.jpg,Ripped Mid Waist Tapered Jeans,253900,https://www.zalora.co.id/something-borrowed-ripped-mid-waist-tapered-jeans-blue-2129016.html,Zalora
bottom,z_4428,http://static.id.zalora.net/p/something-borrowed-4428-8109212-4.jpg,Ripped Boyfriend Cut Jeans,339000,https://www.zalora.co.id/something-borrowed-ripped-boyfriend-cut-jeans-blue-2129018.html,Zalora
bottom,z_1640132,http://static.id.zalora.net/p/expand-7246-1640132-4.jpg,Patrice Straight Denim,299950,https://www.zalora.co.id/expand-patrice-straight-denim-navy-2310461.html,Zalora
bottom,z_7319,http://static.id.zalora.net/p/lois-jeans-7319-2467421-4.jpg,Long Pant Denim,219750,https://www.zalora.co.id/lois-jeans-long-pant-denim-blue-1247642.html,Zalora
bottom,z_8230,http://static.id.zalora.net/p/emba-ladies-8230-8516122-4.jpg,Xavera,224950,https://www.zalora.co.id/emba-ladies-xavera-black-2216158.html,Zalora
bottom,z_8476332,http://static.id.zalora.net/p/expand-0014-8476332-1.jpg,Feyza Straight Denim,299950,https://www.zalora.co.id/expand-feyza-straight-denim-navy-2336748.html,Zalora
bottom,z_1018522,http://static.id.zalora.net/p/expand-0762-1018522-4.jpg,Rania Cullote,249950,https://www.zalora.co.id/expand-rania-cullote-navy-2258101.html,Zalora
bottom,z_9976,http://static.id.zalora.net/p/ra-jeans-9976-6775332-4.jpg,Agathis,399900,https://www.zalora.co.id/ra-jeans-agathis-multi-2335776.html,Zalora
bottom,z_2874,http://static.id.zalora.net/p/marks-spencer-2874-6288922-1.jpg,Wide Leg Cropped Jeans,539100,https://www.zalora.co.id/marks-spencer-wide-leg-cropped-jeans-navy-2298826.html,Zalora
bottom,z_7437,http://static.id.zalora.net/p/ninety-degrees-7437-5005541-4.jpg,Skinny 707 Jeans,159920,https://www.zalora.co.id/ninety-degrees-skinny-707-jeans-blue-1455005.html,Zalora
bottom,z_8280422,http://static.id.zalora.net/p/supre-2355-8280422-4.jpg,The Skinny Premium Ripped Jeans,336900,https://www.zalora.co.id/supre-the-skinny-premium-ripped-jeans-black-2240828.html,Zalora
bottom,z_3706191,http://static.id.zalora.net/p/morphidae-9668-3706191-4.jpg,Adrina,200000,https://www.zalora.co.id/morphidae-adrina-navy-1916073.html,Zalora
bottom,z_6420,http://static.id.zalora.net/p/denim-addict-6420-1727702-4.jpg,Women Slim Fit Denim Pants,179000,https://www.zalora.co.id/denim-addict-women-slim-fit-denim-pants-black-2077271.html,Zalora
bottom,z_9881,http://static.id.zalora.net/p/zalora-basics-9881-6720802-4.jpg,Denim Jeans With Slit,174900,https://www.zalora.co.id/zalora-basics-denim-jeans-with-slit-grey-2080276.html,Zalora
bottom,z_9384,http://static.id.zalora.net/p/tripl3-jeans-9384-3196322-4.jpg,Celana Jeans Wanita Slim Fit,199960,https://www.zalora.co.id/tripl3-jeans-celana-jeans-wanita-slim-fit-blue-2236913.html,Zalora
bottom,z_4972,http://static.id.zalora.net/p/dust-jeans-4972-2429522-4.jpg,3608 High Rise Skinny,268950,https://www.zalora.co.id/dust-jeans-3608-high-rise-skinny-blue-2259242.html,Zalora
bottom,z_5341,http://static.id.zalora.net/p/lois-jeans-5341-333278-4.jpg,Straight Stretch Pants Basic Denim,151920,https://www.zalora.co.id/lois-jeans-straight-stretch-pants-basic-denim-blue-872333.html,Zalora
bottom,z_5301,http://static.id.zalora.net/p/lois-jeans-5301-4627591-4.jpg,High Rise Straight Denim Pant,399600,https://www.zalora.co.id/lois-jeans-high-rise-straight-denim-pant-blue-1957264.html,Zalora
bottom,z_0847,http://static.id.zalora.net/p/emba-ladies-0847-0616122-4.jpg,Xavera,224950,https://www.zalora.co.id/emba-ladies-xavera-blue-2216160.html,Zalora
bottom,z_3342112,http://static.id.zalora.net/p/morphidae-7077-3342112-4.jpg,Dulcie,234500,https://www.zalora.co.id/morphidae-dulcie-blue-2112433.html,Zalora
bottom,z_1933391,http://static.id.zalora.net/p/giordano-7226-1933391-4.jpg,Eseential Jeans,199000,https://www.zalora.co.id/giordano-eseential-jeans-multi-1933391.html,Zalora
bottom,z_5205,http://static.id.zalora.net/p/lois-jeans-5205-7714251-4.jpg,Long Pants Denim,344625,https://www.zalora.co.id/lois-jeans-long-pants-denim-black-1524177.html,Zalora
bottom,z_7397,http://static.id.zalora.net/p/lois-jeans-7397-1747532-1.jpg,Loose Denim Pant SKCL270D,367600,https://www.zalora.co.id/lois-jeans-loose-denim-pant-skcl270d-blue-2357471.html,Zalora
bottom,z_8346,http://static.id.zalora.net/p/dust-jeans-8346-4406122-4.jpg,31280 Basic High Rise,293400,https://www.zalora.co.id/dust-jeans-31280-basic-high-rise-navy-2216044.html,Zalora
bottom,z_0717,http://static.id.zalora.net/p/zalora-basics-0717-9870112-4.jpg,Denim Culottes,269000,https://www.zalora.co.id/zalora-basics-denim-culottes-blue-2110789.html,Zalora
bottom,z_1948,http://static.id.zalora.net/p/zalora-basics-1948-5870112-4.jpg,Skinny Denim Jeans,269000,https://www.zalora.co.id/zalora-basics-skinny-denim-jeans-blue-2110785.html,Zalora
bottom,z_3692532,http://static.id.zalora.net/p/mango-4799-3692532-4.jpg,High Waist Skinny Noa Jeans,599000,https://www.zalora.co.id/mango-high-waist-skinny-noa-jeans-white-2352963.html,Zalora
bottom,z_6449702,http://static.id.zalora.net/p/zalora-4985-6449702-4.jpg,Wide Leg Jeans with Belt,339000,https://www.zalora.co.id/zalora-wide-leg-jeans-with-belt-black-2079446.html,Zalora
bottom,z_1171,http://static.id.zalora.net/p/logo-jeans-1171-0574381-4.jpg,Skinny C2 Series Raw Handmade,377930,https://www.zalora.co.id/logo-jeans-skinny-c2-series-raw-handmade-blue-1834750.html,Zalora
bottom,z_4250232,http://static.id.zalora.net/p/missguided-0940-4250232-4.jpg,Sinner High Waisted Distress Skinny Jeans,406900,https://www.zalora.co.id/missguided-sinner-high-waisted-distress-skinny-jeans-grey-2320524.html,Zalora
